name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 6.80465, 1, 1, 4, 1, 4, 1
addiu_1, passed, 6.95259, 1, 1, 8, 5, 8, 5
addiu_2, passed, 6.94099, 1, 1, 10, 3, 10, 3
addiu_3, passed, 6.81575, 1, 1, 4, 1, 4, 1
addiu_4, passed, 6.79171, 1, 1, 6, 1, 6, 1
addi_0, passed, 6.74915, 1, 1, 4, 1, 4, 1
addi_1, passed, 6.9267, 1, 1, 8, 5, 8, 5
addi_2, passed, 6.92899, 1, 1, 10, 3, 10, 3
addi_3, passed, 6.72992, 1, 1, 4, 1, 4, 1
addu_0, passed, 6.83428, 1, 1, 6, 1, 6, 1
addu_1, passed, 6.82767, 1, 1, 6, 1, 6, 1
addu_2, passed, 6.8004, 1, 1, 6, 1, 6, 1
addu_3, passed, 6.70567, 1, 1, 5, 1, 5, 1
addu_4, passed, 6.76818, 1, 1, 5, 1, 5, 1
addu_5, passed, 6.85254, 1, 1, 6, 1, 6, 1
addu_6, passed, 6.78571, 1, 1, 6, 1, 6, 1
add_0, passed, 6.85643, 1, 1, 6, 1, 6, 1
add_1, passed, 6.82375, 1, 1, 6, 1, 6, 1
add_2, passed, 6.8249, 1, 1, 6, 1, 6, 1
add_3, passed, 6.79145, 1, 1, 5, 1, 5, 1
add_4, passed, 6.77404, 1, 1, 5, 1, 5, 1
add_5, passed, 6.88381, 1, 1, 6, 1, 6, 1
andi_0, passed, 6.87605, 1, 1, 6, 1, 6, 1
andi_1, passed, 6.97876, 1, 1, 6, 1, 6, 1
andi_2, passed, 6.78958, 1, 1, 6, 1, 6, 1
andi_3, passed, 6.81944, 1, 1, 6, 1, 6, 1
andi_4, passed, 6.7998, 1, 1, 6, 1, 6, 1
and_0, passed, 6.8065, 1, 1, 6, 1, 6, 1
and_1, passed, 7.5816, 1, 1, 6, 1, 6, 1
and_2, passed, 7.41348, 1, 1, 6, 1, 6, 1
and_3, passed, 6.89082, 1, 1, 6, 1, 6, 1
and_4, passed, 7.71011, 1, 1, 6, 1, 6, 1
divu_0, passed, 11.1042, 1, 1, 12, 3, 12, 3
divu_1, passed, 7.62484, 1, 1, 12, 3, 12, 3
divu_2, passed, 7.01529, 1, 1, 12, 3, 12, 3
divu_3, passed, 7.03914, 1, 1, 12, 3, 12, 3
divu_4, passed, 7.09114, 1, 1, 12, 3, 12, 3
divu_5, passed, 7.06612, 1, 1, 12, 3, 12, 3
divu_6, passed, 7.10868, 1, 1, 12, 3, 12, 3
divu_7, passed, 7.04404, 1, 1, 12, 3, 12, 3
div_0, passed, 7.07259, 1, 1, 13, 3, 13, 3
div_1, passed, 7.09403, 1, 1, 13, 3, 13, 3
div_2, passed, 7.06625, 1, 1, 13, 3, 13, 3
div_3, passed, 7.18157, 1, 1, 13, 3, 13, 3
div_4, passed, 7.15205, 1, 1, 13, 3, 13, 3
div_5, passed, 7.089, 1, 1, 13, 3, 13, 3
div_6, passed, 7.03348, 1, 1, 13, 3, 13, 3
div_7, passed, 7.04094, 1, 1, 13, 3, 13, 3
lui_0, passed, 6.81826, 1, 1, 4, 1, 4, 1
lui_1, passed, 6.85389, 1, 1, 4, 1, 4, 1
multu_0, passed, 7.03281, 1, 1, 11, 3, 11, 3
multu_1, passed, 7.03623, 1, 1, 11, 3, 11, 3
multu_2, passed, 7.39149, 1, 1, 11, 3, 11, 3
multu_3, passed, 7.03931, 1, 1, 11, 3, 11, 3
multu_4, passed, 6.99265, 1, 1, 11, 3, 11, 3
multu_5, passed, 7.07728, 1, 1, 11, 3, 11, 3
multu_6, passed, 7.01466, 1, 1, 11, 3, 11, 3
multu_7, passed, 6.98706, 1, 1, 11, 3, 11, 3
mult_0, passed, 7.04627, 1, 1, 11, 3, 11, 3
mult_1, passed, 7.00001, 1, 1, 11, 3, 11, 3
mult_2, passed, 7.06348, 1, 1, 11, 3, 11, 3
mult_3, passed, 7.04523, 1, 1, 11, 3, 11, 3
mult_4, passed, 7.06258, 1, 1, 11, 3, 11, 3
mult_5, passed, 7.01072, 1, 1, 11, 3, 11, 3
mult_6, passed, 7.03902, 1, 1, 11, 3, 11, 3
mult_7, passed, 7.07914, 1, 1, 11, 3, 11, 3
mxhi_0, passed, 6.89066, 1, 1, 7, 2, 7, 2
mxlo_0, passed, 6.97203, 1, 1, 7, 2, 7, 2
nop, passed, 6.68482, 1, 1, 3, 3, 3, 3
nor_0, passed, 6.86905, 1, 1, 7, 1, 7, 1
nor_1, passed, 6.93878, 1, 1, 7, 1, 7, 1
nor_2, passed, 6.80271, 1, 1, 7, 1, 7, 1
nor_3, passed, 6.86189, 1, 1, 7, 1, 7, 1
ori_0, passed, 6.81802, 1, 1, 6, 1, 6, 1
ori_1, passed, 6.82847, 1, 1, 6, 1, 6, 1
ori_2, passed, 6.81367, 1, 1, 6, 1, 6, 1
ori_3, passed, 6.89934, 1, 1, 6, 1, 6, 1
ori_4, passed, 6.87651, 1, 1, 6, 1, 6, 1
or_0, passed, 6.7968, 1, 1, 6, 1, 6, 1
or_1, passed, 6.91101, 1, 1, 6, 1, 6, 1
or_2, passed, 6.79235, 1, 1, 6, 1, 6, 1
or_3, passed, 6.79642, 1, 1, 6, 1, 6, 1
or_4, passed, 6.87263, 1, 1, 6, 1, 6, 1
sllv_0, passed, 7.04205, 1, 1, 10, 1, 10, 1
sllv_1, passed, 7.16922, 1, 1, 10, 1, 10, 1
